order_id,session_id,user_id,order_date,total_amount,discount_amount,payment_method,status
1,8,2,2024-01-23,2076.1,43.66,upi,completed
2,11,2,2024-01-26,310.49,13.14,debit_card,completed
3,12,3,2024-05-14,1829.05,0.0,paypal,completed
4,15,4,2024-04-02,1896.53,17.95,paypal,returned
5,24,5,2024-05-19,613.46,0.0,credit_card,completed
6,27,6,2024-05-07,1131.04,0.0,upi,completed
7,35,7,2024-02-02,233.33,9.28,paypal,completed
8,36,7,2024-06-07,635.6,0.0,buy_now_pay_later,completed
9,54,10,2024-04-15,3548.61,19.17,upi,completed
10,65,13,2024-01-07,278.31,25.31,buy_now_pay_later,completed
11,69,14,2024-01-24,445.93,45.48,credit_card,returned
12,72,14,2024-05-10,499.12,0.0,paypal,completed
13,78,14,2024-01-08,625.91,16.11,buy_now_pay_later,cancelled
14,83,14,2024-02-26,438.18,29.5,upi,returned
15,85,15,2024-05-22,317.32,0.0,credit_card,completed
16,86,15,2024-04-23,1160.72,34.64,buy_now_pay_later,completed
17,93,15,2024-03-26,87.94,0.0,upi,completed
18,129,21,2024-06-09,660.67,0.0,credit_card,completed
19,145,25,2024-06-24,515.69,13.32,paypal,completed
20,146,25,2024-06-24,585.91,0.0,upi,completed
21,166,28,2024-03-23,965.75,20.58,debit_card,completed
22,169,29,2024-03-20,1263.69,0.0,debit_card,completed
23,172,29,2024-01-26,297.61,39.69,upi,completed
24,181,31,2024-06-24,666.9,22.18,upi,completed
25,183,31,2024-01-18,1192.18,0.0,buy_now_pay_later,completed
26,184,31,2024-02-28,1221.6,45.61,buy_now_pay_later,completed
27,188,32,2024-01-13,4093.38,10.14,upi,completed
28,198,33,2024-06-25,411.68,35.26,buy_now_pay_later,completed
29,210,35,2024-01-24,1134.88,34.56,debit_card,cancelled
30,212,35,2024-01-16,306.13,48.74,debit_card,completed
31,230,38,2024-04-30,357.02,0.0,upi,completed
32,242,39,2024-05-17,359.11,0.0,upi,completed
33,248,41,2024-02-25,344.65,0.0,credit_card,completed
34,254,42,2024-03-02,334.61,0.0,debit_card,completed
35,285,45,2024-06-06,2244.51,0.0,credit_card,completed
36,312,49,2024-02-12,1188.6,18.41,upi,completed
37,321,51,2024-03-30,408.78,0.0,paypal,completed
38,359,57,2024-05-04,3995.96,0.0,debit_card,completed
39,369,58,2024-06-07,1303.2,0.0,paypal,completed
40,370,58,2024-01-22,358.72,0.0,paypal,completed
41,382,61,2024-05-23,3302.27,0.0,upi,completed
42,387,61,2024-06-25,376.73,47.82,paypal,completed
43,403,63,2024-04-22,1995.33,0.0,debit_card,completed
44,407,64,2024-03-07,142.27,0.0,upi,completed
45,445,69,2024-03-25,260.91,0.0,debit_card,completed
46,448,69,2024-02-11,440.07,0.0,upi,completed
47,449,69,2024-05-08,1611.29,38.75,debit_card,completed
48,451,70,2024-06-20,1749.56,0.0,debit_card,completed
49,453,70,2024-05-17,1589.12,0.0,buy_now_pay_later,completed
50,455,70,2024-06-24,1117.11,41.57,debit_card,completed
51,457,70,2024-01-18,317.28,28.17,upi,cancelled
52,460,70,2024-04-08,449.86,0.0,upi,completed
53,479,73,2024-05-25,571.59,14.89,paypal,completed
54,481,73,2024-04-15,497.28,40.01,debit_card,completed
55,484,73,2024-01-04,1477.94,32.64,paypal,completed
56,486,73,2024-03-07,2169.66,47.44,debit_card,completed
57,490,75,2024-06-22,795.04,0.0,credit_card,completed
58,504,78,2024-05-26,451.9,0.0,upi,completed
59,520,80,2024-04-27,3635.8,0.0,buy_now_pay_later,completed
60,522,81,2024-03-03,2271.44,0.0,debit_card,completed
61,528,83,2024-02-12,440.92,44.24,credit_card,completed
62,565,89,2024-04-01,128.13,0.0,credit_card,completed
63,583,89,2024-01-01,816.75,29.94,upi,completed
64,608,92,2024-01-07,182.75,0.0,credit_card,completed
65,619,94,2024-01-15,1285.89,0.0,buy_now_pay_later,completed
66,636,96,2024-04-18,576.3,7.35,buy_now_pay_later,completed
67,642,96,2024-01-21,6976.17,27.66,paypal,completed
68,649,97,2024-01-16,376.69,10.87,upi,completed
69,672,100,2024-06-28,474.96,31.27,debit_card,completed
70,677,100,2024-04-17,766.33,0.0,upi,completed
71,687,101,2024-01-20,198.47,0.0,upi,completed
72,696,103,2024-04-16,2490.61,18.05,buy_now_pay_later,completed
73,697,103,2024-01-18,1120.56,0.0,credit_card,cancelled
74,700,103,2024-01-24,128.54,40.96,buy_now_pay_later,completed
75,719,105,2024-05-12,1497.69,0.0,paypal,completed
76,726,105,2024-03-21,1947.32,0.0,buy_now_pay_later,completed
77,737,107,2024-05-11,1334.78,0.0,paypal,completed
78,758,109,2024-02-27,266.99,0.0,paypal,completed
79,784,112,2024-04-01,200.45,0.0,upi,completed
80,796,115,2024-05-20,286.37,24.91,buy_now_pay_later,completed
81,799,116,2024-01-15,609.18,0.0,credit_card,completed
82,800,116,2024-02-17,1203.52,0.0,upi,returned
83,805,116,2024-06-18,2422.88,49.62,upi,completed
84,827,119,2024-03-26,591.8,0.0,buy_now_pay_later,completed
85,888,129,2024-01-30,1293.74,16.3,credit_card,completed
86,893,129,2024-05-29,208.64,0.0,credit_card,completed
87,943,135,2024-06-18,259.65,0.0,paypal,completed
88,948,135,2024-04-24,568.24,0.0,upi,completed
89,978,139,2024-02-17,2040.73,18.54,credit_card,completed
90,986,140,2024-03-29,599.55,49.5,upi,completed
91,997,140,2024-02-15,347.5,0.0,debit_card,completed
92,998,140,2024-01-14,1172.56,0.0,upi,completed
93,1003,141,2024-04-15,1110.74,0.0,debit_card,completed
94,1006,142,2024-03-08,1719.46,20.35,debit_card,completed
95,1007,142,2024-02-24,648.14,0.0,buy_now_pay_later,cancelled
96,1029,145,2024-05-31,1663.06,0.0,debit_card,completed
97,1033,145,2024-03-05,600.85,0.0,credit_card,completed
98,1036,145,2024-02-22,1096.72,0.0,paypal,completed
99,1038,146,2024-04-27,270.5,0.0,upi,completed
100,1042,146,2024-05-30,965.13,0.0,debit_card,completed
101,1057,149,2024-04-21,456.78,22.35,upi,completed
102,1062,150,2024-04-10,577.11,0.0,debit_card,completed
103,1068,151,2024-04-21,621.13,45.85,upi,cancelled
104,1072,151,2024-05-31,1447.82,30.14,buy_now_pay_later,returned
105,1088,154,2024-01-24,1891.95,0.0,buy_now_pay_later,completed
106,1089,154,2024-05-26,1646.7,0.0,paypal,completed
107,1115,158,2024-02-11,251.74,0.0,credit_card,completed
108,1130,159,2024-05-03,2656.39,0.0,upi,completed
109,1161,165,2024-01-01,3368.48,20.73,paypal,completed
110,1163,166,2024-04-22,302.5,0.0,paypal,completed
111,1181,168,2024-01-21,333.07,44.37,credit_card,returned
112,1184,168,2024-06-09,1000.5,37.12,debit_card,completed
113,1196,169,2024-06-22,778.44,0.0,debit_card,completed
114,1197,169,2024-05-25,1153.56,0.0,debit_card,completed
115,1215,174,2024-06-12,1823.75,9.33,debit_card,completed
116,1241,177,2024-02-20,1726.24,8.49,credit_card,completed
117,1244,177,2024-02-04,3099.5,34.53,debit_card,completed
118,1256,179,2024-03-23,377.61,0.0,debit_card,completed
119,1258,179,2024-05-21,2384.88,0.0,debit_card,completed
120,1270,181,2024-01-11,117.78,6.2,upi,completed
121,1273,181,2024-02-13,258.16,0.0,credit_card,completed
122,1287,183,2024-04-16,1385.4,0.0,buy_now_pay_later,returned
123,1298,184,2024-04-15,440.72,0.0,debit_card,completed
124,1300,184,2024-06-16,1309.4,18.0,debit_card,completed
125,1337,190,2024-06-19,440.13,19.39,debit_card,completed
126,1339,190,2024-03-20,49.1,0.0,upi,completed
127,1340,190,2024-03-30,413.27,16.03,paypal,completed
128,1348,192,2024-02-22,1651.82,0.0,debit_card,completed
129,1362,194,2024-04-28,697.04,26.93,debit_card,completed
130,1372,195,2024-05-09,1910.18,44.38,debit_card,completed
131,1376,195,2024-01-02,3400.94,18.02,paypal,completed
132,1377,196,2024-01-03,1542.86,0.0,upi,completed
133,1384,196,2024-03-12,473.52,35.98,paypal,completed
134,1427,204,2024-04-23,417.55,0.0,upi,completed
135,1432,205,2024-01-29,368.01,0.0,buy_now_pay_later,completed
136,1447,206,2024-03-02,7521.62,35.05,buy_now_pay_later,completed
137,1448,206,2024-04-07,2367.59,29.3,buy_now_pay_later,completed
138,1450,206,2024-06-15,280.9,38.49,debit_card,completed
139,1467,210,2024-01-17,2771.89,0.0,upi,completed
140,1470,211,2024-06-02,121.5,0.0,debit_card,completed
141,1474,212,2024-03-10,1210.52,0.0,credit_card,completed
142,1479,213,2024-05-08,2434.29,0.0,paypal,completed
143,1481,213,2024-02-25,1208.96,0.0,buy_now_pay_later,completed
144,1497,215,2024-05-23,121.66,0.0,paypal,completed
145,1499,215,2024-03-10,366.61,23.5,paypal,completed
146,1508,216,2024-05-27,717.22,37.43,credit_card,completed
147,1509,217,2024-05-04,513.67,0.0,paypal,completed
148,1511,218,2024-05-11,654.24,0.0,credit_card,completed
149,1525,219,2024-03-26,231.04,11.69,debit_card,returned
150,1579,227,2024-06-26,1222.18,0.0,upi,completed
151,1600,228,2024-03-24,142.51,0.0,upi,completed
152,1607,228,2024-04-01,1038.71,34.89,paypal,completed
153,1617,230,2024-05-07,451.32,26.52,paypal,completed
154,1619,231,2024-06-04,1640.7,18.47,paypal,completed
155,1656,233,2024-03-18,1915.0,0.0,credit_card,completed
156,1668,235,2024-02-28,1265.3,0.0,buy_now_pay_later,completed
157,1679,238,2024-01-01,1380.11,0.0,credit_card,completed
158,1681,238,2024-03-31,752.95,17.32,upi,returned
159,1687,238,2024-03-15,95.61,32.16,upi,returned
160,1698,240,2024-06-06,455.81,0.0,debit_card,completed
161,1699,240,2024-04-17,250.96,0.0,debit_card,returned
