session_id,user_id,session_date,session_hour,device_type,channel,landing_page
1,1,2024-06-17,17,tablet,organic_search,/category/laptops
2,1,2024-01-22,13,tablet,organic_search,/home
3,1,2024-04-14,9,mobile,direct,/new-arrivals
4,1,2024-01-20,18,desktop,social_media,/new-arrivals
5,1,2024-06-30,18,mobile,social_media,/category/headphones
6,1,2024-06-03,10,desktop,social_media,/category/laptops
7,1,2024-06-28,19,mobile,paid_search,/new-arrivals
8,2,2024-01-23,16,mobile,paid_search,/deals
9,2,2024-05-10,10,mobile,referral,/sale
10,2,2024-01-27,16,mobile,organic_search,/category/headphones
11,2,2024-01-26,10,mobile,social_media,/home
12,3,2024-05-14,10,desktop,referral,/category/laptops
13,4,2024-02-19,19,desktop,email,/category/smartphones
14,4,2024-01-02,21,mobile,paid_search,/home
15,4,2024-04-02,10,tablet,social_media,/home
16,4,2024-02-02,21,mobile,social_media,/home
17,4,2024-04-26,10,desktop,direct,/deals
18,4,2024-06-05,7,desktop,paid_search,/sale
19,4,2024-05-23,5,mobile,referral,/category/headphones
20,4,2024-01-25,10,desktop,social_media,/category/headphones
21,4,2024-04-13,12,mobile,organic_search,/sale
22,5,2024-05-31,21,mobile,email,/home
23,5,2024-06-03,10,tablet,social_media,/home
24,5,2024-05-19,11,mobile,paid_search,/category/headphones
25,6,2024-03-17,17,mobile,social_media,/deals
26,6,2024-06-12,11,mobile,paid_search,/new-arrivals
27,6,2024-05-07,17,mobile,organic_search,/sale
28,6,2024-06-02,13,desktop,social_media,/new-arrivals
29,6,2024-05-29,9,tablet,paid_search,/sale
30,6,2024-01-04,17,desktop,organic_search,/category/smartphones
31,6,2024-02-24,2,desktop,organic_search,/sale
32,6,2024-01-22,10,desktop,social_media,/sale
33,6,2024-06-25,11,mobile,organic_search,/deals
34,7,2024-04-01,13,mobile,social_media,/category/smartphones
35,7,2024-02-02,17,mobile,email,/deals
36,7,2024-06-07,13,desktop,social_media,/home
37,7,2024-04-04,15,desktop,social_media,/home
38,7,2024-02-25,15,desktop,organic_search,/category/smartphones
39,7,2024-03-13,12,desktop,paid_search,/category/headphones
40,7,2024-03-31,21,desktop,social_media,/home
41,7,2024-04-19,22,desktop,paid_search,/category/headphones
42,7,2024-04-17,15,desktop,organic_search,/category/laptops
43,7,2024-01-15,6,mobile,organic_search,/category/headphones
44,8,2024-04-10,14,mobile,social_media,/category/smartphones
45,8,2024-02-01,9,mobile,social_media,/home
46,8,2024-06-14,14,mobile,paid_search,/category/smartphones
47,8,2024-03-03,9,mobile,social_media,/category/headphones
48,8,2024-06-09,17,mobile,paid_search,/category/laptops
49,8,2024-05-17,6,mobile,organic_search,/category/headphones
50,9,2024-05-07,22,mobile,social_media,/new-arrivals
51,9,2024-02-05,9,desktop,organic_search,/new-arrivals
52,10,2024-02-26,16,mobile,paid_search,/sale
53,10,2024-02-26,21,tablet,direct,/category/smartphones
54,10,2024-04-15,10,desktop,paid_search,/new-arrivals
55,10,2024-05-16,21,tablet,direct,/deals
56,10,2024-04-16,12,mobile,organic_search,/deals
57,11,2024-02-25,22,desktop,direct,/sale
58,11,2024-06-17,22,desktop,organic_search,/deals
59,12,2024-06-25,9,tablet,email,/category/headphones
60,12,2024-04-28,19,mobile,organic_search,/home
61,12,2024-02-22,9,desktop,social_media,/deals
62,12,2024-02-19,9,mobile,email,/deals
63,12,2024-06-27,6,mobile,paid_search,/category/headphones
64,12,2024-05-13,8,mobile,organic_search,/home
65,13,2024-01-07,16,mobile,direct,/category/headphones
66,13,2024-06-03,13,mobile,email,/category/headphones
67,13,2024-03-05,18,mobile,paid_search,/category/smartphones
68,13,2024-03-12,11,mobile,direct,/home
69,14,2024-01-24,22,tablet,referral,/new-arrivals
70,14,2024-02-25,4,tablet,email,/category/laptops
71,14,2024-01-10,5,desktop,social_media,/home
72,14,2024-05-10,17,desktop,email,/sale
73,14,2024-04-07,20,desktop,organic_search,/sale
74,14,2024-06-04,19,desktop,direct,/sale
75,14,2024-05-23,14,mobile,organic_search,/category/headphones
76,14,2024-04-18,10,tablet,social_media,/category/smartphones
77,14,2024-05-28,1,mobile,social_media,/category/headphones
78,14,2024-01-08,14,desktop,referral,/deals
79,14,2024-02-11,13,desktop,paid_search,/category/headphones
80,14,2024-04-19,11,mobile,social_media,/deals
81,14,2024-02-21,15,desktop,email,/new-arrivals
82,14,2024-04-28,17,desktop,email,/category/smartphones
83,14,2024-02-26,17,desktop,organic_search,/new-arrivals
84,14,2024-02-02,10,mobile,direct,/category/headphones
85,15,2024-05-22,15,mobile,direct,/category/smartphones
86,15,2024-04-23,8,tablet,organic_search,/home
87,15,2024-04-19,7,tablet,social_media,/category/laptops
88,15,2024-04-12,18,mobile,paid_search,/new-arrivals
89,15,2024-03-01,17,desktop,email,/home
90,15,2024-03-13,18,tablet,referral,/category/smartphones
91,15,2024-06-26,8,desktop,direct,/category/laptops
92,15,2024-04-02,21,mobile,paid_search,/deals
93,15,2024-03-26,8,mobile,social_media,/home
